date,block,elapsed_seconds,debt,nav,tab,rebate,owe,gain,sde,gap,daily_tab,daily_rebate,daily_owe,daily_gain,daily_sde,net_cost_of_funds,pipeline_daily_cost_of_funds,pipeline_utilized,pipeline_ssr_apy,pipeline_sub_apr,pipeline_sde_av,pipeline_lending_idle,pipeline_debt_difference
2026-08-20,25799779,86400,4001497,4003270.079307113817573041,3511.136545566242176085,1190.979584508739686812,20056.380925842375614424,1763.950092131541214997,0,-416.982085640017780994,401.205264803018667823,152.62695625568250374,1003.845401616997196812,223.162041513434303229,0,2320.156961057502489273,248.9000264249662555849914055,2479181.516800638118116615715,0.03519999850777533,,0,1522315.483199361881883384285,0
2026-08-21,25806958,86400,5001497,5003525.753975134818302421,4012.605602845678920824,1343.612708199881404782,21060.226327459368227658,1987.098018740221649625,0,-384.455344227697486242,501.469057279436744739,152.63312369114171797,1003.845401616992613234,223.147926608680434628,0,2668.992894645797516042,311.1059721564330967693451931,3098787.039177099038105254816,0.03519999850777533,,0,1902709.960822900961894745184,0
2026-08-22,25814126,86400,5001497,5003804.692574601252648272,4514.074660125117797989,1534.385624854646612956,22064.071729076365109602,2266.036618206655995476,0,-384.455344227697486242,501.469057279438877165,190.772916654765208174,1003.845401616996881944,278.938599466434345851,0,2979.689035270471185033,311.0956423453888489638784862,3098684.148562819965194163304,0.03519999850777533,,0,1902812.851437180034805836696,0
2026-08-23,25821305,86400,5001497,5004083.683704891082460835,5015.543717404552683357,1725.168857712608150834,23067.91713069335400073,2545.027748496485808039,0,-384.455344227697486242,501.469057279434885368,190.783232857961537878,1003.845401616988891128,278.991130289829812563,0,3290.374859691944532523,311.0848875222939421110410335,3098577.024594147380030313077,0.03519999850777533,,0,1902919.975405852619969686923,0
2026-08-24,25828483,86400,5001497,5004362.586319621624949787,5517.012774683989458823,1915.962831225934646384,24071.762532310346675474,2823.930363227028296991,0,-384.455344227697486242,501.469057279436775466,190.79397351332649555,1003.845401616992674744,278.902614730542488952,0,3601.049943458054812439,311.0743193322680722795649000,3098471.759593759476210918232,0.03519999850777533,,0,1903025.240406240523789081768,0
2026-08-25,25835657,86400,5001497,5004641.591132230361733247,6018.481831963427901587,2106.767359007415699377,25075.607933927342687829,3102.935175835765080451,0,-384.455344227697486242,501.469057279438442764,190.804527781481052993,1003.845401616996012355,279.00481260873678346,0,3911.71447295601220221,311.0639295055010035365949917,3098368.271189785993793967350,0.03519999850777533,,0,1903128.728810214006206032650,0
2026-08-26,25842829,86400,5001497,5004920.629408614726659396,6519.950889242866165086,2297.582262928756397343,26079.453335544338341331,3381.9734522201300066,0,-384.455344227697486242,501.469057279438263499,190.814903921340697966,1003.845401616995653502,279.038276384364926149,0,4222.368626314109767743,311.0526313173444504789125221,3098255.735005465795554554255,0.03519999850777533,,0,1903241.264994534204445445745,0
2026-08-27,25850009,86400,7001497,7005216.575434997976254728,7221.94753147513969211,2488.408450154726460784,27083.298737161326614029,3661.054209261936433155,0,-367.590074886254317465,701.996642232273527024,190.826187225970063441,1003.845401616988272698,279.080757041806426555,0,4733.539081320413231326,435.4776460204152486666722817,4337597.494466842203834009040,0.03519999850777533,,0,2663899.505533157796165990960,0
2026-08-28,25857181,86400,9001497,9005659.284831175014026791,8124.471758660260543531,2755.501117355541925969,28087.144138778324200611,4051.449766752005221879,0,-315.276236199285334126,902.524227185120851421,267.092667200815465185,1003.845401616997586582,390.395557490068788724,0,5368.970641304718617562,559.8976395149971536930442751,5576889.239922770448265925858,0.03519999850777533,,0,3424607.760077229551734074142,0
2026-08-29,25864358,86400,9001497,9006161.36460589248654924,9026.995985845377266718,3098.865279125062621052,29090.989540395317195506,4553.529541469477744328,0,-315.276236199285334126,902.524227185116723187,343.364161769520695083,1003.845401616992994895,502.079774717472522449,0,5928.130706720314645666,559.8815320643726734271622802,5576728.800832246571937814690,0.03519999850777533,,0,3424768.199167753428062185310,0
2026-08-30,25871535,86400,9001497,9006663.511469655565013719,9929.520213030490417952,3442.245527126259348617,30094.834942012306217445,5055.676405232556208807,0,-315.276236199285334126,902.524227185113151234,343.380248001196727565,1003.845401616989021939,502.146863763078464479,0,6487.274685904231069335,559.8585350751428448817208658,5576499.738138041347722867301,0.03519999850777533,,0,3424997.261861958652277132699,0
2026-08-31,25878704,86400,14001497,14007218.767159237661206371,11333.36340259770418691,3785.648741821892659667,31098.680343629297289543,5557.818620433504304792,0,-262.162761818137237459,1403.843189567213768958,343.40321469563331105,1003.845401616991072098,502.142215200948095985,0,7547.714660775811527243,870.9277343488974417531288865,8674920.499125597892897860878,0.03519999850777533,,0,5326576.500874402107102139122,0
